,0,1,2,3,4
0,0.0,0.4395201,0.624376,0.52577585,0.019095128
1,0.0,0.5455185,0.5964441,0.4778158,0.09319075
2,0.0,0.5027155,0.4552665,0.5151366,0.63921446
3,0.0,0.460629,0.5264602,0.52193385,0.57911026
4,0.0,0.50282806,0.40864292,0.47991064,0.17350654
5,0.0,0.4887188,0.47864366,0.49551314,0.88630134
6,0.0,0.48670992,0.49631768,0.51454973,0.9227693
7,0.0,0.49052453,0.55293053,0.50794756,0.55381864
8,0.0,0.5007476,0.4138303,0.563241,0.101770036
9,0.0,0.5659181,0.48214084,0.45214206,0.24885014
10,0.0,0.49934027,0.49071142,0.55807275,0.50065863
11,0.0,0.5749264,0.32007688,0.5288265,0.00042498714
12,0.0,0.46762705,0.5506894,0.52033055,0.44657367
13,0.0,0.6081529,0.5648069,0.4612966,0.030838622
14,0.0,0.5157425,0.53381026,0.44730178,0.434477
15,0.0,0.45450896,0.481683,0.52268445,0.55771554
16,0.0,0.5086162,0.46707606,0.5470951,0.5090365
17,0.0,0.50749356,0.40751523,0.47635707,0.15981881
18,0.0,0.5520089,0.54838294,0.47936046,0.3347519
19,0.0,0.48154393,0.51771456,0.46092236,0.64642453
20,0.0,0.56208515,0.5214405,0.4929264,0.41775498
21,0.0,0.44407856,0.4799773,0.47251058,0.42453673
22,0.0,0.4607411,0.48221663,0.52620447,0.60119444
23,0.0,0.53946257,0.5225322,0.50147974,0.66137344
24,0.0,0.49249336,0.42939612,0.4927217,0.36101115
25,0.0,0.4534296,0.46162534,0.45602548,0.3279038
26,0.0,0.5291885,0.46054518,0.48516256,0.59110564
27,0.0,0.4724755,0.38896286,0.46140537,0.05418895
28,0.0,0.47878632,0.47013706,0.5394918,0.55973977
29,0.0,0.49308607,0.5277715,0.45858333,0.6023723
30,0.0,0.5869117,0.59818274,0.5259185,0.02807005
31,0.0,0.5089518,0.5624377,0.4753803,0.39973804
32,0.0,0.43623006,0.5786129,0.48453024,0.12280185
33,0.0,0.5475279,0.39953572,0.52069384,0.077611335
34,0.0,0.50707805,0.4753326,0.46526787,0.6886788
35,0.0,0.46851864,0.5153717,0.47087196,0.66023356
36,0.0,0.48218673,0.5135067,0.47163457,0.7703825
37,0.0,0.5550024,0.5999557,0.5854795,0.017169366
38,0.0,0.47564563,0.4962955,0.6044007,0.100131266
39,0.0,0.53609127,0.4882766,0.57995564,0.20875691
40,0.0,0.4515573,0.43879065,0.591969,0.05445854
41,0.0,0.52303296,0.5030284,0.5375512,0.67708635
42,0.0,0.48630297,0.49091145,0.5378568,0.7112935
43,0.0,0.4545749,0.5239757,0.47516116,0.52149904
44,0.0,0.56562626,0.5009879,0.42371136,0.13192149
45,0.0,0.50742346,0.59678674,0.537002,0.11551141
